segment_id,road_type,rainfall_mm,rainfall_prev_6h_mm,rainfall_rate_change_mm_per_h,slope_degrees,river_distance_km,historical_closure_count,active_weather_warning,disrupted
SEG_RURAL_NL1,rural,90.65,13.48,88.4,35.77,0.4,2,1,1
SEG_HWY_NH27,highway,84.41,4.05,83.73,5.96,4.915,4,0,0
SEG_DIST_MZ1,district,38.02,9.92,36.36,37.15,0.245,1,0,1
SEG_DIST_MZ1,district,3.66,33.47,-1.92,31.4,0.05,9,0,0
SEG_DIST_AR1,district,23.37,15.8,20.74,26.56,1.069,7,0,1
SEG_HWY_NH37,highway,17.28,1.61,17.01,2.31,3.344,0,0,0
SEG_RURAL_TR1,rural,20.41,14.0,18.07,48.53,0.399,7,0,1
SEG_HWY_NH27,highway,32.05,5.2,31.18,11.7,4.952,1,1,0
SEG_RURAL_NL1,rural,28.86,32.87,23.38,38.74,0.409,0,0,0
SEG_HWY_NH27,highway,29.84,2.82,29.37,17.11,4.504,2,0,0
SEG_DIST_AR1,district,58.69,6.05,57.68,33.81,0.934,0,0,0
SEG_DIST_MZ1,district,12.41,21.2,8.87,31.93,0.935,2,0,0
SEG_STATE_MN2,state,9.78,39.15,3.25,19.97,1.419,2,0,0
SEG_HWY_NH27,highway,89.54,8.39,88.14,11.08,4.481,2,1,1
SEG_HWY_NH37,highway,11.66,30.28,6.62,0.0,2.995,1,0,0
SEG_STATE_MN2,state,30.65,2.44,30.25,23.75,2.715,8,0,0
SEG_DIST_AR1,district,17.64,9.21,16.11,18.74,0.552,0,0,0
SEG_HWY_NH27,highway,20.55,11.06,18.7,3.12,4.727,1,0,1
SEG_STATE_MN2,state,21.14,1.62,20.87,20.25,1.693,2,0,0
SEG_HWY_NH27,highway,8.78,17.2,5.92,10.74,4.944,1,0,0
SEG_RURAL_NL1,rural,55.77,0.9,55.62,44.65,0.839,6,0,0
SEG_DIST_AR1,district,34.59,19.96,31.26,33.18,0.902,0,0,0
SEG_RURAL_TR1,rural,61.64,33.18,56.11,46.01,0.05,1,1,1
SEG_DIST_MZ1,district,25.22,12.15,23.2,29.59,0.455,1,0,0
SEG_STATE_AS1,state,51.63,12.09,49.62,12.58,1.603,5,0,1
SEG_DIST_MZ1,district,14.7,7.84,13.4,36.37,0.158,2,0,0
SEG_DIST_MZ1,district,25.6,30.31,20.55,36.98,0.968,2,0,1
SEG_STATE_MN2,state,83.01,42.71,75.89,22.66,2.11,14,0,1
SEG_DIST_AR1,district,25.61,11.82,23.64,32.12,0.219,4,0,0
SEG_HWY_NH27,highway,24.11,3.82,23.47,8.32,4.432,0,0,0
SEG_STATE_AS1,state,48.21,3.03,47.7,19.44,1.873,3,0,0
SEG_STATE_MN2,state,14.06,17.64,11.12,23.95,2.031,2,0,0
SEG_STATE_AS1,state,13.09,18.76,9.96,22.94,1.847,8,0,1
SEG_RURAL_TR1,rural,25.12,29.32,20.23,46.55,0.377,0,0,1
SEG_RURAL_NL1,rural,35.76,15.08,33.25,41.68,0.05,3,1,0
SEG_DIST_AR1,district,98.44,16.65,95.67,30.66,0.499,2,0,1
SEG_STATE_MN2,state,23.0,19.68,19.72,16.79,2.331,2,0,0
SEG_DIST_MZ1,district,39.34,15.62,36.74,38.02,0.409,3,0,1
SEG_HWY_NH37,highway,27.62,11.04,25.78,2.93,3.19,3,0,0
SEG_STATE_MN2,state,4.69,3.75,4.07,20.63,1.899,6,0,0
SEG_HWY_NH37,highway,29.14,17.73,26.18,4.99,3.296,2,0,0
SEG_DIST_MZ1,district,11.78,18.56,8.69,37.19,0.127,2,0,1
SEG_RURAL_NL1,rural,34.64,35.47,28.73,45.66,0.107,3,0,0
SEG_DIST_AR1,district,11.16,32.5,5.74,27.07,1.231,4,0,0
SEG_HWY_NH27,highway,15.14,22.53,11.39,4.72,5.368,6,0,0
SEG_STATE_MN2,state,59.69,36.24,53.65,16.24,1.928,1,0,1
SEG_DIST_MZ1,district,25.06,9.3,23.51,33.65,1.031,4,0,1
SEG_STATE_MN2,state,25.73,11.71,23.78,10.4,1.4,0,1,1
SEG_RURAL_TR1,rural,50.73,25.46,46.48,42.19,0.409,3,0,0
SEG_RURAL_NL1,rural,10.36,63.43,-0.21,37.94,0.191,0,0,0
SEG_RURAL_TR1,rural,12.96,16.09,10.28,38.4,0.456,0,0,0
SEG_STATE_AS1,state,38.85,37.27,32.64,16.72,1.725,6,0,1
SEG_DIST_AR1,district,13.59,57.74,3.96,34.43,0.653,0,0,0
SEG_STATE_AS1,state,8.26,11.19,6.4,20.05,1.735,1,0,1
SEG_STATE_MN2,state,8.95,12.63,6.85,18.04,2.008,3,0,0
SEG_DIST_AR1,district,17.84,9.91,16.19,34.84,1.255,1,0,1
SEG_RURAL_NL1,rural,16.78,12.75,14.65,37.76,0.285,3,0,0
SEG_RURAL_NL1,rural,14.76,6.31,13.71,41.82,0.235,2,0,0
SEG_DIST_MZ1,district,87.33,13.6,85.06,33.03,0.05,5,1,1
SEG_STATE_MN2,state,20.45,3.87,19.8,8.11,1.896,1,0,1
SEG_STATE_AS1,state,33.01,29.83,28.04,15.2,1.493,0,0,1
SEG_RURAL_TR1,rural,42.3,3.48,41.72,46.35,0.324,9,0,0
SEG_HWY_NH27,highway,20.42,2.54,19.99,11.61,5.574,4,0,1
SEG_HWY_NH37,highway,33.03,32.71,27.58,9.8,2.546,8,0,0
SEG_HWY_NH27,highway,26.87,3.43,26.3,3.42,4.798,7,1,1
SEG_STATE_AS1,state,15.36,14.65,12.91,17.96,1.654,3,0,0
SEG_STATE_AS1,state,25.55,9.55,23.96,25.01,1.554,0,0,0
SEG_RURAL_NL1,rural,10.98,1.42,10.74,39.58,0.168,4,0,0
SEG_HWY_NH27,highway,15.18,18.09,12.17,6.02,5.44,3,0,0
SEG_RURAL_NL1,rural,49.45,2.56,49.02,32.86,0.05,4,0,1
SEG_RURAL_NL1,rural,34.77,12.95,32.61,43.89,0.057,3,0,1
SEG_RURAL_TR1,rural,9.14,3.13,8.61,39.09,0.05,0,0,1
SEG_DIST_AR1,district,24.17,13.16,21.98,32.74,1.069,1,0,0
SEG_HWY_NH37,highway,7.61,9.32,6.05,2.88,3.324,6,0,0
SEG_HWY_NH27,highway,10.97,9.07,9.45,9.18,4.969,4,1,0
SEG_DIST_AR1,district,6.7,5.43,5.79,34.05,0.756,2,0,1
SEG_DIST_MZ1,district,41.96,11.94,39.97,36.71,0.496,0,0,1
SEG_HWY_NH27,highway,55.84,18.68,52.72,7.4,4.514,0,0,0
SEG_DIST_AR1,district,21.78,16.24,19.08,31.6,0.872,5,0,0
SEG_RURAL_NL1,rural,18.28,9.15,16.76,40.39,0.097,2,0,0
SEG_STATE_AS1,state,55.37,28.66,50.59,25.95,1.613,9,0,1
SEG_RURAL_TR1,rural,5.81,10.43,4.07,44.11,0.05,3,0,0
SEG_HWY_NH37,highway,27.57,3.36,27.01,13.99,3.357,1,0,0
SEG_DIST_AR1,district,27.71,9.38,26.15,34.94,0.909,0,0,0
SEG_STATE_AS1,state,14.55,6.76,13.42,17.29,1.762,2,0,0
SEG_HWY_NH27,highway,17.02,1.16,16.83,2.36,4.852,4,0,0
SEG_DIST_AR1,district,39.58,3.79,38.95,27.08,0.641,1,1,1
SEG_STATE_MN2,state,26.94,6.83,25.8,22.19,1.973,3,0,1
SEG_STATE_AS1,state,18.2,18.04,15.2,21.36,1.268,1,0,0
SEG_DIST_MZ1,district,15.57,19.86,12.26,46.34,0.191,2,0,1
SEG_STATE_AS1,state,45.11,75.93,32.46,16.45,1.365,5,0,0
SEG_HWY_NH37,highway,40.82,28.22,36.12,6.51,3.305,0,0,1
SEG_DIST_MZ1,district,19.18,6.58,18.09,34.8,0.633,3,0,0
SEG_RURAL_TR1,rural,2.95,11.59,1.02,42.69,0.399,7,0,0
SEG_HWY_NH37,highway,42.44,3.28,41.9,7.89,3.026,3,0,0
SEG_HWY_NH27,highway,2.66,3.28,2.11,11.31,4.808,1,0,0
SEG_DIST_MZ1,district,33.42,20.28,30.04,42.06,0.807,3,0,0
SEG_DIST_AR1,district,8.27,0.97,8.11,39.04,1.228,0,0,0
SEG_STATE_MN2,state,30.53,13.96,28.2,24.71,2.307,0,1,0
SEG_HWY_NH37,highway,34.84,3.48,34.26,10.36,3.181,1,0,0
SEG_STATE_MN2,state,12.73,18.7,9.61,27.95,1.086,0,0,0
SEG_HWY_NH27,highway,3.2,11.08,1.35,5.08,4.695,6,0,0
SEG_HWY_NH27,highway,7.55,8.03,6.21,4.24,4.727,1,0,0
SEG_RURAL_TR1,rural,9.95,2.9,9.46,42.07,0.249,0,0,1
SEG_HWY_NH27,highway,23.32,22.56,19.56,6.47,5.031,3,0,0
SEG_STATE_AS1,state,25.61,5.07,24.76,18.99,1.27,2,0,1
SEG_STATE_AS1,state,31.36,6.82,30.22,15.74,1.3,2,0,1
SEG_RURAL_TR1,rural,7.64,20.33,4.25,45.8,0.192,3,0,0
SEG_STATE_AS1,state,37.62,14.03,35.28,24.54,1.352,3,0,1
SEG_DIST_AR1,district,40.08,5.21,39.22,25.03,0.998,1,0,1
SEG_RURAL_NL1,rural,32.79,7.11,31.6,36.99,0.05,0,0,1
SEG_STATE_MN2,state,48.72,18.39,45.65,20.29,1.578,0,0,0
SEG_STATE_MN2,state,26.06,4.31,25.34,23.94,1.654,5,0,0
SEG_DIST_AR1,district,26.88,23.83,22.91,20.96,1.263,1,0,0
SEG_RURAL_NL1,rural,9.71,14.1,7.36,42.48,0.573,4,0,1
SEG_DIST_MZ1,district,26.33,13.88,24.02,32.38,0.627,8,0,1
SEG_RURAL_TR1,rural,33.44,5.66,32.49,49.68,0.091,4,0,0
SEG_RURAL_TR1,rural,13.18,19.11,10.0,48.17,0.381,8,0,1
SEG_HWY_NH27,highway,18.44,14.39,16.05,2.99,4.478,2,0,0
SEG_STATE_MN2,state,25.72,0.91,25.57,22.07,1.935,2,0,0
SEG_STATE_MN2,state,34.47,7.58,33.21,26.9,2.388,10,0,0
SEG_HWY_NH27,highway,30.76,3.47,30.19,15.91,4.723,1,0,0
SEG_DIST_MZ1,district,6.56,17.83,3.59,27.09,0.277,4,0,0
SEG_HWY_NH37,highway,52.43,0.22,52.4,5.69,2.942,4,1,1
SEG_STATE_MN2,state,27.54,2.59,27.11,19.27,1.405,7,0,0
SEG_STATE_MN2,state,17.62,24.83,13.48,18.25,1.848,2,0,0
SEG_HWY_NH37,highway,25.26,14.72,22.81,6.4,3.411,3,0,0
SEG_HWY_NH27,highway,54.22,0.22,54.18,0.0,5.441,2,1,0
SEG_HWY_NH37,highway,126.01,27.07,121.49,12.4,2.943,0,0,1
SEG_STATE_MN2,state,66.83,20.21,63.46,21.81,2.059,1,1,0
SEG_HWY_NH27,highway,10.23,17.66,7.28,15.4,5.336,1,0,1
SEG_HWY_NH37,highway,18.74,18.01,15.74,5.21,2.974,2,0,0
SEG_DIST_MZ1,district,53.66,0.72,53.55,26.7,0.593,0,0,0
SEG_HWY_NH27,highway,17.32,14.97,14.82,3.67,4.506,3,0,0
SEG_STATE_MN2,state,61.55,6.08,60.54,10.36,1.442,0,1,1
SEG_DIST_AR1,district,15.41,44.49,8.0,35.14,0.495,2,0,1
SEG_RURAL_TR1,rural,22.57,18.99,19.41,48.7,0.446,15,1,0
SEG_STATE_MN2,state,17.86,26.07,13.52,12.79,1.425,0,0,0
SEG_STATE_AS1,state,17.4,20.38,14.01,15.69,1.37,5,0,0
SEG_RURAL_TR1,rural,24.31,10.47,22.57,49.24,0.613,1,0,1
SEG_STATE_MN2,state,22.71,6.69,21.59,24.77,2.075,6,1,0
SEG_RURAL_TR1,rural,27.47,11.79,25.51,47.78,0.05,1,1,1
SEG_RURAL_NL1,rural,40.68,8.1,39.33,37.29,0.644,3,0,1
SEG_STATE_MN2,state,39.32,16.65,36.55,25.94,1.986,1,0,0
SEG_HWY_NH27,highway,17.51,16.39,14.78,0.0,5.252,10,1,0
SEG_HWY_NH27,highway,23.61,4.89,22.79,14.33,5.412,3,0,0
SEG_RURAL_NL1,rural,39.14,53.96,30.15,43.56,0.05,1,0,0
SEG_DIST_MZ1,district,23.34,29.6,18.4,30.04,0.441,6,0,0
SEG_RURAL_NL1,rural,13.95,37.4,7.72,37.24,0.253,10,0,0
SEG_RURAL_NL1,rural,38.22,4.02,37.55,47.24,0.253,7,0,1
SEG_RURAL_TR1,rural,21.67,3.81,21.04,43.26,0.05,2,0,1
SEG_HWY_NH37,highway,17.04,9.27,15.5,12.83,3.153,0,0,0
SEG_HWY_NH27,highway,5.86,1.12,5.67,14.43,4.427,3,0,0
SEG_HWY_NH37,highway,11.75,3.31,11.2,10.93,3.063,4,0,0
SEG_RURAL_NL1,rural,26.33,13.5,24.08,34.57,0.353,10,0,0
SEG_DIST_MZ1,district,20.72,34.09,15.04,38.24,0.251,1,0,0
SEG_HWY_NH27,highway,9.66,7.91,8.34,8.57,5.324,0,0,0
SEG_STATE_MN2,state,4.94,24.15,0.92,18.53,1.454,8,0,1
SEG_STATE_MN2,state,14.26,27.38,9.7,22.47,2.003,5,0,0
SEG_STATE_MN2,state,20.34,6.0,19.34,26.85,2.262,0,0,1
SEG_RURAL_TR1,rural,6.7,8.16,5.34,42.33,0.202,1,0,1
SEG_STATE_AS1,state,40.51,11.77,38.55,27.21,2.077,0,0,0
SEG_RURAL_NL1,rural,37.34,29.95,32.35,39.16,0.629,4,0,1
SEG_STATE_AS1,state,61.97,11.02,60.13,16.3,1.233,1,0,1
SEG_DIST_AR1,district,67.85,19.0,64.68,26.61,0.478,1,0,1
SEG_RURAL_TR1,rural,31.4,21.83,27.76,44.99,0.291,3,1,0
SEG_STATE_MN2,state,8.12,12.54,6.03,26.04,1.832,0,0,0
SEG_HWY_NH27,highway,25.39,18.58,22.29,17.44,5.0,0,0,1
SEG_RURAL_TR1,rural,47.15,14.26,44.77,41.78,0.05,5,0,1
SEG_HWY_NH27,highway,4.02,7.85,2.71,16.21,5.38,6,0,0
SEG_HWY_NH37,highway,2.29,18.4,-0.78,5.92,3.585,1,0,0
SEG_HWY_NH37,highway,13.99,11.32,12.1,4.73,2.991,3,0,0
SEG_HWY_NH27,highway,23.3,9.68,21.69,1.39,4.866,3,0,0
SEG_STATE_MN2,state,12.9,59.3,3.02,20.33,2.375,6,0,0
SEG_STATE_AS1,state,27.37,6.55,26.28,23.29,1.614,5,0,0
SEG_RURAL_NL1,rural,37.79,15.96,35.13,42.43,0.342,3,0,1
SEG_RURAL_TR1,rural,35.62,24.14,31.6,49.98,0.05,2,0,1
SEG_RURAL_TR1,rural,55.47,63.91,44.82,43.55,0.201,3,0,0
SEG_STATE_MN2,state,11.8,1.19,11.6,27.24,1.86,0,0,0
SEG_RURAL_NL1,rural,11.25,25.58,6.98,36.67,0.581,4,0,0
SEG_HWY_NH37,highway,51.43,12.16,49.4,5.66,2.612,0,0,1
SEG_STATE_AS1,state,42.49,10.09,40.8,11.76,1.6,1,0,0
SEG_RURAL_NL1,rural,13.41,20.48,10.0,40.26,0.113,2,0,0
SEG_HWY_NH37,highway,12.58,14.65,10.14,6.86,3.251,2,0,0
SEG_RURAL_NL1,rural,12.78,9.05,11.27,36.51,0.285,5,0,1
SEG_DIST_AR1,district,49.08,22.23,45.38,34.32,0.853,3,1,0
SEG_RURAL_TR1,rural,13.45,2.27,13.07,40.89,0.226,2,0,0
SEG_DIST_AR1,district,54.98,28.12,50.29,28.29,0.944,3,1,1
SEG_RURAL_NL1,rural,7.19,56.26,-2.19,47.13,0.326,0,0,1
SEG_RURAL_TR1,rural,38.92,7.46,37.67,39.62,0.461,1,1,1
SEG_STATE_AS1,state,11.86,14.68,9.41,19.68,1.247,0,0,1
SEG_STATE_MN2,state,48.76,15.76,46.14,30.22,1.737,2,0,1
SEG_DIST_AR1,district,24.25,4.87,23.44,28.37,0.747,0,0,0
SEG_STATE_MN2,state,18.03,22.09,14.35,28.52,1.778,4,0,1
SEG_HWY_NH37,highway,39.04,11.02,37.2,5.76,3.165,7,0,0
SEG_HWY_NH37,highway,22.0,28.73,17.21,0.0,2.906,6,0,0
SEG_DIST_MZ1,district,26.1,9.2,24.57,29.61,0.05,4,0,1
SEG_HWY_NH37,highway,26.28,23.05,22.44,3.27,2.189,1,1,0
SEG_HWY_NH37,highway,10.99,2.58,10.56,3.58,3.091,3,1,0
SEG_RURAL_TR1,rural,10.58,14.28,8.2,54.39,0.05,4,0,1
SEG_STATE_AS1,state,38.09,4.37,37.37,8.71,1.352,8,0,1
SEG_HWY_NH37,highway,2.03,13.12,-0.15,0.0,3.02,2,0,0
SEG_HWY_NH27,highway,33.12,45.96,25.46,0.0,5.421,1,0,0
SEG_STATE_AS1,state,83.88,12.18,81.85,16.13,1.832,1,1,1
SEG_HWY_NH27,highway,84.57,35.65,78.62,9.18,4.717,2,0,0
SEG_HWY_NH27,highway,61.75,34.73,55.97,0.27,4.909,11,0,0
SEG_STATE_MN2,state,20.68,4.09,20.0,23.21,2.432,0,0,0
SEG_RURAL_NL1,rural,60.34,2.95,59.85,48.24,0.246,2,1,0
SEG_HWY_NH27,highway,22.6,8.68,21.15,7.7,5.004,0,0,0
SEG_STATE_MN2,state,69.32,2.41,68.92,21.44,2.468,1,0,1
SEG_HWY_NH37,highway,45.72,13.69,43.43,4.23,3.121,0,0,0
SEG_HWY_NH27,highway,13.2,26.77,8.74,12.63,4.924,2,0,0
SEG_RURAL_NL1,rural,62.42,21.26,58.88,42.45,0.555,3,1,0
SEG_DIST_MZ1,district,37.43,20.11,34.07,35.39,0.482,5,0,1
SEG_DIST_AR1,district,111.01,6.52,109.92,36.98,1.09,3,0,1
SEG_STATE_MN2,state,15.37,0.92,15.22,27.96,1.79,12,0,0
SEG_DIST_MZ1,district,20.24,14.42,17.83,27.22,0.999,3,0,0
SEG_STATE_MN2,state,30.31,21.28,26.76,23.74,1.93,7,0,1
SEG_DIST_AR1,district,35.69,18.93,32.53,23.19,1.392,2,0,0
SEG_RURAL_NL1,rural,9.68,2.86,9.2,53.13,0.705,4,0,0
SEG_STATE_AS1,state,24.04,5.35,23.14,20.61,1.43,4,1,1
SEG_DIST_AR1,district,43.05,17.31,40.16,30.23,1.009,2,0,1
SEG_RURAL_TR1,rural,13.29,12.45,11.21,42.56,0.663,2,0,1
SEG_DIST_MZ1,district,4.62,5.44,3.71,33.59,0.31,5,0,1
SEG_HWY_NH27,highway,42.78,19.27,39.56,13.85,5.277,2,1,1
SEG_HWY_NH37,highway,10.9,17.37,8.0,0.0,3.113,0,0,0
SEG_RURAL_TR1,rural,25.83,7.11,24.65,52.74,0.088,5,0,1
SEG_HWY_NH27,highway,31.3,13.47,29.05,10.02,5.08,2,0,0
SEG_HWY_NH27,highway,69.02,25.39,64.79,7.68,4.937,3,0,0
SEG_STATE_MN2,state,12.8,14.98,10.3,21.31,1.904,1,0,0
SEG_DIST_AR1,district,23.22,23.75,19.27,32.96,0.577,1,1,1
SEG_STATE_AS1,state,33.45,21.2,29.92,26.21,0.985,0,0,1
SEG_DIST_MZ1,district,9.93,2.86,9.45,37.01,0.163,2,1,1
SEG_HWY_NH27,highway,26.1,7.75,24.81,4.37,4.635,0,0,0
SEG_STATE_MN2,state,31.75,20.39,28.35,20.84,1.515,7,0,1
SEG_DIST_MZ1,district,16.87,0.35,16.81,33.42,0.305,1,0,1
SEG_DIST_AR1,district,46.45,2.06,46.11,26.22,0.483,8,0,1
SEG_STATE_AS1,state,57.42,32.26,52.04,17.72,1.488,0,1,0
SEG_RURAL_TR1,rural,12.98,6.11,11.97,51.55,0.602,5,0,1
SEG_DIST_AR1,district,74.52,15.17,71.99,28.73,1.023,4,1,1
SEG_HWY_NH37,highway,11.22,3.68,10.6,1.55,3.181,2,0,0
SEG_DIST_AR1,district,98.25,8.65,96.8,32.35,0.549,8,0,1
SEG_HWY_NH27,highway,5.45,4.04,4.77,11.17,4.949,2,0,0
SEG_STATE_AS1,state,24.66,9.89,23.01,17.24,1.491,1,0,0
SEG_DIST_AR1,district,46.48,16.53,43.73,32.86,0.913,1,0,1
SEG_HWY_NH27,highway,14.7,16.75,11.91,7.63,4.972,0,0,0
SEG_HWY_NH27,highway,12.19,7.2,10.99,5.45,5.332,7,0,0
SEG_STATE_AS1,state,37.28,18.68,34.17,20.18,1.434,1,0,1
SEG_DIST_AR1,district,58.76,11.99,56.76,32.79,0.607,2,0,0
SEG_DIST_AR1,district,42.04,15.96,39.38,29.56,1.103,2,0,0
SEG_STATE_MN2,state,14.96,13.98,12.63,23.53,1.956,3,0,1
SEG_DIST_MZ1,district,33.01,5.72,32.06,36.81,0.901,9,0,0
SEG_STATE_MN2,state,13.16,6.97,11.99,23.68,1.37,0,0,1
SEG_DIST_AR1,district,33.21,8.13,31.85,40.61,1.101,4,0,0
SEG_RURAL_TR1,rural,2.88,52.82,-5.93,43.71,0.203,6,0,0
SEG_DIST_AR1,district,75.25,39.44,68.68,46.36,0.442,0,0,0
SEG_HWY_NH37,highway,54.94,4.06,54.27,11.15,3.18,2,1,1
SEG_HWY_NH27,highway,9.7,14.23,7.32,9.08,5.15,1,0,0
SEG_RURAL_NL1,rural,49.22,28.38,44.49,38.15,0.388,4,0,1
SEG_DIST_AR1,district,7.58,16.47,4.83,31.97,0.684,5,0,0
SEG_HWY_NH37,highway,14.01,16.73,11.22,0.0,2.74,4,0,0
SEG_HWY_NH37,highway,15.16,11.67,13.22,15.46,3.101,0,0,1
SEG_DIST_MZ1,district,24.45,19.62,21.18,30.26,1.407,0,0,1
SEG_STATE_AS1,state,51.19,18.95,48.03,27.18,1.142,4,0,0
SEG_DIST_AR1,district,23.46,6.6,22.36,25.53,0.123,2,0,0
SEG_STATE_AS1,state,45.16,7.47,43.92,19.76,1.602,3,0,0
SEG_RURAL_TR1,rural,15.23,43.17,8.03,33.99,0.05,2,0,1
SEG_RURAL_NL1,rural,18.33,19.59,15.07,47.99,0.355,5,0,1
SEG_HWY_NH37,highway,13.93,10.8,12.13,2.33,3.073,1,0,0
SEG_HWY_NH27,highway,11.69,15.36,9.13,14.79,5.347,6,0,0
SEG_HWY_NH27,highway,33.06,23.43,29.15,12.09,4.581,1,0,1
SEG_STATE_AS1,state,34.15,34.27,28.44,14.16,1.426,2,0,1
SEG_HWY_NH37,highway,33.14,27.77,28.51,9.93,3.162,2,0,0
SEG_DIST_MZ1,district,14.03,14.68,11.58,38.79,0.617,5,0,0
SEG_STATE_AS1,state,11.27,4.01,10.6,11.13,1.356,0,0,1
SEG_RURAL_NL1,rural,43.83,38.92,37.34,34.96,0.05,3,0,0
SEG_STATE_AS1,state,19.81,3.57,19.22,17.31,1.522,3,0,1
SEG_HWY_NH37,highway,5.76,16.09,3.08,6.5,2.668,4,0,0
SEG_DIST_AR1,district,27.74,26.05,23.4,26.56,0.908,8,0,1
SEG_DIST_MZ1,district,0.22,20.07,-3.12,30.51,0.634,2,0,0
SEG_HWY_NH37,highway,11.33,7.23,10.12,3.23,3.24,4,0,0
SEG_DIST_MZ1,district,68.47,8.78,67.01,36.82,0.727,5,0,1
SEG_STATE_MN2,state,9.6,3.18,9.07,22.49,2.597,2,0,0
SEG_STATE_MN2,state,9.12,12.41,7.05,31.2,2.117,0,0,0
SEG_HWY_NH27,highway,11.35,15.39,8.78,0.0,4.687,1,0,0
SEG_DIST_MZ1,district,12.06,5.2,11.19,33.82,0.217,2,0,1
SEG_RURAL_NL1,rural,10.8,8.21,9.44,36.53,1.056,6,1,0
SEG_STATE_AS1,state,33.15,4.18,32.46,26.07,1.53,0,0,0
SEG_STATE_MN2,state,21.41,28.18,16.71,23.33,1.777,1,0,0
SEG_STATE_AS1,state,16.66,14.81,14.19,20.88,1.627,4,0,1
SEG_STATE_AS1,state,18.69,13.42,16.45,13.47,1.485,2,0,1
SEG_RURAL_NL1,rural,19.76,11.63,17.83,44.5,0.544,3,0,1
SEG_HWY_NH37,highway,9.67,23.75,5.72,7.53,2.571,8,0,0
SEG_STATE_AS1,state,5.76,13.96,3.44,27.19,1.398,6,0,0
SEG_DIST_MZ1,district,5.35,11.8,3.38,37.9,0.05,5,0,1
SEG_RURAL_NL1,rural,24.72,7.35,23.5,49.88,0.119,2,0,1
SEG_STATE_MN2,state,81.97,19.13,78.79,19.64,1.798,10,0,1
SEG_DIST_AR1,district,56.2,13.81,53.89,22.32,0.458,1,0,1
SEG_STATE_AS1,state,21.3,1.11,21.12,24.06,1.06,1,0,1
SEG_HWY_NH27,highway,11.65,4.4,10.92,18.77,5.029,0,0,0
SEG_RURAL_NL1,rural,47.89,18.28,44.84,37.29,0.382,2,0,1
SEG_HWY_NH37,highway,37.47,3.35,36.91,0.73,2.973,8,0,1
SEG_RURAL_TR1,rural,12.79,15.96,10.13,50.98,0.231,1,0,1
SEG_STATE_MN2,state,53.65,15.51,51.06,27.28,2.205,1,0,0
SEG_STATE_MN2,state,41.14,16.14,38.45,20.68,1.773,1,0,1
SEG_RURAL_TR1,rural,12.13,0.98,11.96,55.33,0.224,0,0,1
SEG_DIST_MZ1,district,16.69,13.08,14.51,29.45,0.4,5,0,0
SEG_DIST_AR1,district,38.17,1.23,37.96,22.81,0.926,5,0,0
